

Connection Budget Details for bus Canbus with capacity 100.0KBytesps

Connection,Budget,Actual (Data Size * Sender Rate),Note
sensor1.sensorSignal -> dcs.app.iop.sense.signalin, 10.0 KBytesps,80.0 KBytesps,Actual bandwidth exceeds bandwidth budget. Using actual
dcs.app.iop.actuate.actuate -> actuator.actuatorCmd, 10.0 KBytesps,5.0 KBytesps,Using budget bandwidth
dcs.hw.canbus1 -> sensor1.canbusaccess, 10.0 KBytesps,0.0 KBytesps,Using budget bandwidth
dcs.hw.canbus1 -> sensor2.canbusaccess, 10.0 KBytesps,0.0 KBytesps,Using budget bandwidth
dcs.hw.canbus1 -> actuator.canbusaccess, 10.0 KBytesps,0.0 KBytesps,Using budget bandwidth
Total, 120.000 KBytesps,


Connection Budget Details for bus MILbus with capacity 200.0KBytesps

Connection,Budget,Actual (Data Size * Sender Rate),Note
sensor2.sensorSignal -> dcs.app.iop.sense.signalin, 0.0 KBytesps,80.0 KBytesps,No bandwidth budget. Using actual
Total, 80.000 KBytesps,
